package,version,file_out,functions,title,internal,all_urls
agua,0.1.4,h2o_train.html,h2o_train_nb,Model wrappers for h2o,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o_train.html,h2o_train_mlp,Model wrappers for h2o,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o_train.html,h2o_train_rule,Model wrappers for h2o,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o_train.html,h2o_train_auto,Model wrappers for h2o,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o_tune.html,agua_backend_options,Control model tuning via h2o::h2o.grid(),FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,reexports,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,as_tibble,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,%>%,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,tidy,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,refit,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,rank_results,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,autoplot,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,extract_fit_parsnip,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,extract_fit_engine,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,reexports.html,collect_metrics,Objects exported from other packages,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
autostats,0.4.2,auto_anova.html,auto_anova,auto anova,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,auto_boxplot.html,auto_boxplot,auto_boxplot,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,auto_cor.html,auto_cor,auto correlation,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,auto_model_accuracy.html,auto_model_accuracy,auto model accuracy,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,auto_t_test.html,auto_t_test,auto t test,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,auto_tune_xgboost.html,auto_tune_xgboost,auto_tune_xgboost,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
