title,topic,package
Augment data with information from a(n) felm object,<a href='https://broom.tidymodels.org//reference/augment.felm.html' target='_blank'><tt>augment.felm</tt></a>,broom
Augment data with information from a(n) fixest object,<a href='https://broom.tidymodels.org//reference/augment.fixest.html' target='_blank'><tt>augment.fixest</tt></a>,broom
Augment data with information from a(n) gam object,<a href='https://broom.tidymodels.org//reference/augment.gam.html' target='_blank'><tt>augment.gam</tt></a>,broom
Augment data with information from a(n) glm object,<a href='https://broom.tidymodels.org//reference/augment.glm.html' target='_blank'><tt>augment.glm</tt></a>,broom
Augment data with information from a(n) glmRob object,<a href='https://broom.tidymodels.org//reference/augment.glmRob.html' target='_blank'><tt>augment.glmRob</tt></a>,broom
Augment data with information from a(n) glmrob object,<a href='https://broom.tidymodels.org//reference/augment.robustbase.glmrob.html' target='_blank'><tt>augment.glmrob</tt></a>,broom
Augment data with information from a(n) htest object,<a href='https://broom.tidymodels.org//reference/augment.htest.html' target='_blank'><tt>augment.htest</tt></a>,broom
Augment data with information from a(n) ivreg object,<a href='https://broom.tidymodels.org//reference/augment.ivreg.html' target='_blank'><tt>augment.ivreg</tt></a>,broom
Augment data with information from a(n) kmeans object,<a href='https://broom.tidymodels.org//reference/augment.kmeans.html' target='_blank'><tt>augment.kmeans</tt></a>,broom
Augment data with information from a(n) lm object,<a href='https://broom.tidymodels.org//reference/augment.lm.html' target='_blank'><tt>augment.lm</tt></a>,broom
Augment data with information from a(n) lmRob object,<a href='https://broom.tidymodels.org//reference/augment.lmRob.html' target='_blank'><tt>augment.lmRob</tt></a>,broom
Augment data with information from a(n) lmrob object,<a href='https://broom.tidymodels.org//reference/augment.robustbase.lmrob.html' target='_blank'><tt>augment.lmrob</tt></a>,broom
Augment data with information from a(n) Mclust object,<a href='https://broom.tidymodels.org//reference/augment.Mclust.html' target='_blank'><tt>augment.Mclust</tt></a>,broom
Augment data with information from a(n) mfx object,<a href='https://broom.tidymodels.org//reference/augment.mfx.html' target='_blank'><tt>augment.mfx</tt></a>,broom
Augment data with information from a(n) mfx object,<a href='https://broom.tidymodels.org//reference/augment.mfx.html' target='_blank'><tt>augment.logitmfx</tt></a>,broom
Augment data with information from a(n) mfx object,<a href='https://broom.tidymodels.org//reference/augment.mfx.html' target='_blank'><tt>augment.negbinmfx</tt></a>,broom
Augment data with information from a(n) mfx object,<a href='https://broom.tidymodels.org//reference/augment.mfx.html' target='_blank'><tt>augment.poissonmfx</tt></a>,broom
Augment data with information from a(n) mfx object,<a href='https://broom.tidymodels.org//reference/augment.mfx.html' target='_blank'><tt>augment.probitmfx</tt></a>,broom
Augment data with information from a(n) mjoint object,<a href='https://broom.tidymodels.org//reference/augment.mjoint.html' target='_blank'><tt>augment.mjoint</tt></a>,broom
Augment data with information from a(n) mlogit object,<a href='https://broom.tidymodels.org//reference/augment.mlogit.html' target='_blank'><tt>augment.mlogit</tt></a>,broom
Augment data with information from an mnr object,<a href='https://www.cmstatr.net//reference/augment.mnr.html' target='_blank'><tt>augment.mnr</tt></a>,cmstatr
Augment data with information from a(n) nls object,<a href='https://broom.tidymodels.org//reference/augment.nls.html' target='_blank'><tt>augment.nls</tt></a>,broom
Augment data with information from a(n) pam object,<a href='https://broom.tidymodels.org//reference/augment.pam.html' target='_blank'><tt>augment.pam</tt></a>,broom
Augment data with information from a(n) plm object,<a href='https://broom.tidymodels.org//reference/augment.plm.html' target='_blank'><tt>augment.plm</tt></a>,broom
Augment data with information from a(n) poLCA object,<a href='https://broom.tidymodels.org//reference/augment.poLCA.html' target='_blank'><tt>augment.poLCA</tt></a>,broom
Augment data with information from a(n) polr object,<a href='https://broom.tidymodels.org//reference/augment.polr.html' target='_blank'><tt>augment.polr</tt></a>,broom
Augment data with information from a(n) prcomp object,<a href='https://broom.tidymodels.org//reference/augment.prcomp.html' target='_blank'><tt>augment.prcomp</tt></a>,broom
Augment data with information from a(n) rlm object,<a href='https://broom.tidymodels.org//reference/augment.rlm.html' target='_blank'><tt>augment.rlm</tt></a>,broom
Augment data with information from a(n) rma object,<a href='https://broom.tidymodels.org//reference/augment.rma.html' target='_blank'><tt>augment.rma</tt></a>,broom
Augment data with information from a(n) rq object,<a href='https://broom.tidymodels.org//reference/augment.rq.html' target='_blank'><tt>augment.rq</tt></a>,broom
Augment data with information from a(n) rqs object,<a href='https://broom.tidymodels.org//reference/augment.rqs.html' target='_blank'><tt>augment.rqs</tt></a>,broom
Augment data with information from a(n) spatialreg object,<a href='https://broom.tidymodels.org//reference/augment.sarlm.html' target='_blank'><tt>augment.sarlm</tt></a>,broom
Augment data with information from a(n) speedlm object,<a href='https://broom.tidymodels.org//reference/augment.speedlm.html' target='_blank'><tt>augment.speedlm</tt></a>,broom
Augment data with information from a(n) stl object,<a href='https://broom.tidymodels.org//reference/augment.stl.html' target='_blank'><tt>augment.stl</tt></a>,broom
Augment data with information from a(n) survreg object,<a href='https://broom.tidymodels.org//reference/augment.survreg.html' target='_blank'><tt>augment.survreg</tt></a>,broom
Augment data with information from fitted model objects,<a href='https://usepa.github.io/spmodel//reference/augment.spmodel.html' target='_blank'><tt>augment.spmodel</tt></a>,spmodel
Augment data with information from fitted model objects,<a href='https://usepa.github.io/spmodel//reference/augment.spmodel.html' target='_blank'><tt>augment.splm</tt></a>,spmodel
Augment data with information from fitted model objects,<a href='https://usepa.github.io/spmodel//reference/augment.spmodel.html' target='_blank'><tt>augment.spautor</tt></a>,spmodel
Augment data with information from fitted model objects,<a href='https://usepa.github.io/spmodel//reference/augment.spmodel.html' target='_blank'><tt>augment.spglm</tt></a>,spmodel
Augment data with information from fitted model objects,<a href='https://usepa.github.io/spmodel//reference/augment.spmodel.html' target='_blank'><tt>augment.spgautor</tt></a>,spmodel
Augment data with information from fitted model objects,<a href='https://usepa.github.io/SSN2//reference/augment.SSN2.html' target='_blank'><tt>augment.SSN2</tt></a>,SSN2
Augment data with information from fitted model objects,<a href='https://usepa.github.io/SSN2//reference/augment.SSN2.html' target='_blank'><tt>augment.ssn_lm</tt></a>,SSN2
Augment data with information from fitted model objects,<a href='https://usepa.github.io/SSN2//reference/augment.SSN2.html' target='_blank'><tt>augment.ssn_glm</tt></a>,SSN2
Augment data with predicted discount functions and yield curves,<a href='https://github.com/bonsook/ycevo' target='_blank'><tt>augment.ycevo</tt></a>,ycevo
Augment data with predictions,<a href='https://parsnip.tidymodels.org//reference/augment.html' target='_blank'><tt>augment.model_fit</tt></a>,parsnip
Augment data with predictions,<a href='https://tidyclust.tidymodels.org//reference/augment.html' target='_blank'><tt>augment.cluster_fit</tt></a>,tidyclust
Augment data with predictions,<a href='https://workflows.tidymodels.org/reference/augment.workflow.html' target='_blank'><tt>augment.workflow</tt></a>,workflows
Augment function for class backward,<a href='https://nuwani-palihawadana.github.io/smimodel//reference/augment.backward.html' target='_blank'><tt>augment.backward</tt></a>,smimodel
Augment function for class gaimFit,<a href='https://nuwani-palihawadana.github.io/smimodel//reference/augment.gaimFit.html' target='_blank'><tt>augment.gaimFit</tt></a>,smimodel
Augment function for class gamFit,<a href='https://nuwani-palihawadana.github.io/smimodel//reference/augment.gamFit.html' target='_blank'><tt>augment.gamFit</tt></a>,smimodel
Augment function for class lmFit,<a href='https://nuwani-palihawadana.github.io/smimodel//reference/augment.lmFit.html' target='_blank'><tt>augment.lmFit</tt></a>,smimodel
Augment function for class pprFit,<a href='https://nuwani-palihawadana.github.io/smimodel//reference/augment.pprFit.html' target='_blank'><tt>augment.pprFit</tt></a>,smimodel
Augment function for class smimodel,<a href='https://nuwani-palihawadana.github.io/smimodel//reference/augment.smimodel.html' target='_blank'><tt>augment.smimodel</tt></a>,smimodel
Augment function for class smimodelFit,<a href='https://nuwani-palihawadana.github.io/smimodel//reference/augment.smimodelFit.html' target='_blank'><tt>augment.smimodelFit</tt></a>,smimodel
Augment method for tidylda objects,<a href='https://github.com/TommyJones/tidylda/' target='_blank'><tt>augment.tidylda</tt></a>,tidylda
Augment using orbital objects,<a href='https://orbital.tidymodels.org/reference/augment.orbital_class.html' target='_blank'><tt>augment.orbital_class</tt></a>,orbital
Augmentation for random effects (for caterpillar plots etc.),<a href='https://github.com/bbolker/broom.mixed' target='_blank'><tt>augment.ranef.mer</tt></a>,broom.mixed
Augmented Data from fitdists Object,<a href='https://bcgov.github.io/ssdtools//reference/augment.fitdists.html' target='_blank'><tt>augment.fitdists</tt></a>,ssdtools
Augmented prediction for breathtest fit,<a href='https://github.com/dmenne/breathtestcore' target='_blank'><tt>augment.breathtestfit</tt></a>,breathtestcore
Binomial regression,<a href='https://www.r-project.org' target='_blank'><tt>glance.binomreg</tt></a>,micsr
BPE Tokenization of Character Variables,<a href='https://textrecipes.tidymodels.org//reference/step_tokenize_bpe.html' target='_blank'><tt>tidy.step_tokenize_bpe</tt></a>,textrecipes
Broom extensions for summ objects,<a href='https://jtools.jacob-long.com/reference/glance.summ.html' target='_blank'><tt>tidy.summ</tt></a>,jtools
Broom extensions for summ objects,<a href='https://jtools.jacob-long.com/reference/glance.summ.html' target='_blank'><tt>tidy.summ.merMod</tt></a>,jtools
