title,topic,package
Generate n-grams From Token Variables,<a href='https://textrecipes.tidymodels.org//reference/step_ngram.html' target='_blank'><tt>tidy.step_ngram</tt></a>,textrecipes
Get a tibble summarizing each distribution,<a href='https://bcgov.github.io/ssdtools//reference/glance.fitdists.html' target='_blank'><tt>glance.fitdists</tt></a>,ssdtools
Get model summaries from a cross-price model,<a href='https://brentkaplan.github.io/beezdemand//reference/glance.cp_model_nls.html' target='_blank'><tt>glance.cp_model_nls</tt></a>,beezdemand
Get model summaries from a linear cross-price model,<a href='https://brentkaplan.github.io/beezdemand//reference/glance.cp_model_lm.html' target='_blank'><tt>glance.cp_model_lm</tt></a>,beezdemand
Get model summaries from a mixed-effects cross-price model,<a href='https://brentkaplan.github.io/beezdemand//reference/glance.cp_model_lmer.html' target='_blank'><tt>glance.cp_model_lmer</tt></a>,beezdemand
Get the rulelist from a C5 model,<a href='https://talegari.github.io/tidyrules//reference/tidy.C5.0.html' target='_blank'><tt>tidy.C5.0</tt></a>,tidyrules
Get the rulelist from a cubist model,<a href='https://talegari.github.io/tidyrules//reference/tidy.cubist.html' target='_blank'><tt>tidy.cubist</tt></a>,tidyrules
Get the rulelist from a party model,<a href='https://talegari.github.io/tidyrules//reference/tidy.constparty.html' target='_blank'><tt>tidy.constparty</tt></a>,tidyrules
Get the rulelist from a rpart model,<a href='https://talegari.github.io/tidyrules//reference/tidy.rpart.html' target='_blank'><tt>tidy.rpart</tt></a>,tidyrules
Glance,<a href='https://github.com/shabbychef/ohenery' target='_blank'><tt>glance.harsm</tt></a>,ohenery
Glance,<a href='https://github.com/shabbychef/ohenery' target='_blank'><tt>glance.hensm</tt></a>,ohenery
Glance a mable,<a href='https://fabletools.tidyverts.org//reference/glance.html' target='_blank'><tt>glance.mdl_df</tt></a>,fabletools
Glance a mable,<a href='https://fabletools.tidyverts.org//reference/glance.html' target='_blank'><tt>glance.mdl_ts</tt></a>,fabletools
Glance at a adk (Anderson--Darling k-Sample) object,<a href='https://www.cmstatr.net//reference/glance.adk.html' target='_blank'><tt>glance.adk</tt></a>,cmstatr
Glance at a basis object,<a href='https://www.cmstatr.net//reference/glance.basis.html' target='_blank'><tt>glance.basis</tt></a>,cmstatr
Glance at a beezdemand_hurdle Model,<a href='https://brentkaplan.github.io/beezdemand//reference/glance.beezdemand_hurdle.html' target='_blank'><tt>glance.beezdemand_hurdle</tt></a>,beezdemand
Glance at a coxphf object,<a href='https://cemsiis.meduniwien.ac.at/kb/wf/software/statistische-software/fccoxphf/' target='_blank'><tt>glance.coxphf</tt></a>,coxphf
Glance at a equiv_change_mean object,<a href='https://www.cmstatr.net//reference/glance.equiv_change_mean.html' target='_blank'><tt>glance.equiv_change_mean</tt></a>,cmstatr
Glance at a fitted model object,<a href='https://usepa.github.io/spmodel//reference/glance.spmodel.html' target='_blank'><tt>glance.spmodel</tt></a>,spmodel
Glance at a fitted model object,<a href='https://usepa.github.io/spmodel//reference/glance.spmodel.html' target='_blank'><tt>glance.splm</tt></a>,spmodel
Glance at a fitted model object,<a href='https://usepa.github.io/spmodel//reference/glance.spmodel.html' target='_blank'><tt>glance.spautor</tt></a>,spmodel
Glance at a fitted model object,<a href='https://usepa.github.io/spmodel//reference/glance.spmodel.html' target='_blank'><tt>glance.spglm</tt></a>,spmodel
Glance at a fitted model object,<a href='https://usepa.github.io/spmodel//reference/glance.spmodel.html' target='_blank'><tt>glance.spgautor</tt></a>,spmodel
Glance at a fitted model object,<a href='https://usepa.github.io/SSN2//reference/glance.SSN2.html' target='_blank'><tt>glance.SSN2</tt></a>,SSN2
Glance at a fitted model object,<a href='https://usepa.github.io/SSN2//reference/glance.SSN2.html' target='_blank'><tt>glance.ssn_lm</tt></a>,SSN2
Glance at a fitted model object,<a href='https://usepa.github.io/SSN2//reference/glance.SSN2.html' target='_blank'><tt>glance.ssn_glm</tt></a>,SSN2
Glance at a flexsurv model object,<a href='http://chjackson.github.io/flexsurv//reference/glance.flexsurvreg.html' target='_blank'><tt>glance.flexsurvreg</tt></a>,flexsurv
Glance at a graph_lme object,<a href='https://davidbolin.github.io/MetricGraph//reference/glance.graph_lme.html' target='_blank'><tt>glance.graph_lme</tt></a>,MetricGraph
Glance at a levene object,<a href='https://www.cmstatr.net//reference/glance.levene.html' target='_blank'><tt>glance.levene</tt></a>,cmstatr
Glance at a mixpoissonreg object,<a href='https://github.com/vpnsctl/mixpoissonreg/' target='_blank'><tt>glance.mixpoissonreg</tt></a>,mixpoissonreg
Glance at a mnr (maximum normed residual) object,<a href='https://www.cmstatr.net//reference/glance.mnr.html' target='_blank'><tt>glance.mnr</tt></a>,cmstatr
Glance at a PMRM.,<a href='https://openpharma.github.io/pmrm//reference/glance.pmrm_fit.html' target='_blank'><tt>glance.pmrm_fit</tt></a>,pmrm
Glance at a qgcompfit object,<a href='https://github.com/alexpkeil1/qgcomp/' target='_blank'><tt>glance.qgcompfit</tt></a>,qgcomp
Glance at a workflow model,<a href='https://workflows.tidymodels.org/reference/glance.workflow.html' target='_blank'><tt>glance.workflow</tt></a>,workflows
Glance at a(n) aareg object,<a href='https://broom.tidymodels.org//reference/glance.aareg.html' target='_blank'><tt>glance.aareg</tt></a>,broom
Glance at an anderson_darling object,<a href='https://www.cmstatr.net//reference/glance.anderson_darling.html' target='_blank'><tt>glance.anderson_darling</tt></a>,cmstatr
Glance at a(n) anova object,<a href='https://broom.tidymodels.org//reference/glance.anova.html' target='_blank'><tt>glance.anova</tt></a>,broom
Glance at a(n) Arima object,<a href='https://broom.tidymodels.org//reference/glance.Arima.html' target='_blank'><tt>glance.Arima</tt></a>,broom
Glance at a(n) betamfx object,<a href='https://broom.tidymodels.org//reference/glance.betamfx.html' target='_blank'><tt>glance.betamfx</tt></a>,broom
Glance at a(n) betareg object,<a href='https://broom.tidymodels.org//reference/glance.betareg.html' target='_blank'><tt>glance.betareg</tt></a>,broom
Glance at a(n) biglm object,<a href='https://broom.tidymodels.org//reference/glance.biglm.html' target='_blank'><tt>glance.biglm</tt></a>,broom
Glance at a(n) binDesign object,<a href='https://broom.tidymodels.org//reference/glance.binDesign.html' target='_blank'><tt>glance.binDesign</tt></a>,broom
Glance at a(n) cch object,<a href='https://broom.tidymodels.org//reference/glance.cch.html' target='_blank'><tt>glance.cch</tt></a>,broom
Glance at a(n) clm object,<a href='https://broom.tidymodels.org//reference/glance.clm.html' target='_blank'><tt>glance.clm</tt></a>,broom
Glance at a(n) clmm object,<a href='https://broom.tidymodels.org//reference/glance.clmm.html' target='_blank'><tt>glance.clmm</tt></a>,broom
Glance at a(n) coeftest object,<a href='https://broom.tidymodels.org//reference/glance.coeftest.html' target='_blank'><tt>glance.coeftest</tt></a>,broom
Glance at a(n) coxph object,<a href='https://broom.tidymodels.org//reference/glance.coxph.html' target='_blank'><tt>glance.coxph</tt></a>,broom
Glance at a(n) crr object,<a href='https://broom.tidymodels.org//reference/glance.crr.html' target='_blank'><tt>glance.crr</tt></a>,broom
Glance at a(n) cv.glmnet object,<a href='https://broom.tidymodels.org//reference/glance.cv.glmnet.html' target='_blank'><tt>glance.cv.glmnet</tt></a>,broom
Glance at a(n) drc object,<a href='https://broom.tidymodels.org//reference/glance.drc.html' target='_blank'><tt>glance.drc</tt></a>,broom
Glance at an equiv_mean_extremum object,<a href='https://www.cmstatr.net//reference/glance.equiv_mean_extremum.html' target='_blank'><tt>glance.equiv_mean_extremum</tt></a>,cmstatr
Glance at a(n) ergm object,<a href='https://broom.tidymodels.org//reference/glance.ergm.html' target='_blank'><tt>glance.ergm</tt></a>,broom
Glance at an estimatr object,<a href='https://declaredesign.org/r/estimatr//reference/estimatr_glancers.html' target='_blank'><tt>glance.lm_robust</tt></a>,estimatr
Glance at an estimatr object,<a href='https://declaredesign.org/r/estimatr//reference/estimatr_glancers.html' target='_blank'><tt>glance.lh_robust</tt></a>,estimatr
Glance at an estimatr object,<a href='https://declaredesign.org/r/estimatr//reference/estimatr_glancers.html' target='_blank'><tt>glance.iv_robust</tt></a>,estimatr
Glance at an estimatr object,<a href='https://declaredesign.org/r/estimatr//reference/estimatr_glancers.html' target='_blank'><tt>glance.difference_in_means</tt></a>,estimatr
Glance at an estimatr object,<a href='https://declaredesign.org/r/estimatr//reference/estimatr_glancers.html' target='_blank'><tt>glance.horvitz_thompson</tt></a>,estimatr
Glance at a(n) factanal object,<a href='https://broom.tidymodels.org//reference/glance.factanal.html' target='_blank'><tt>glance.factanal</tt></a>,broom
Glance at a(n) felm object,<a href='https://broom.tidymodels.org//reference/glance.felm.html' target='_blank'><tt>glance.felm</tt></a>,broom
Glance at a(n) fitdistr object,<a href='https://broom.tidymodels.org//reference/glance.fitdistr.html' target='_blank'><tt>glance.fitdistr</tt></a>,broom
Glance at a(n) fixest object,<a href='https://broom.tidymodels.org//reference/glance.fixest.html' target='_blank'><tt>glance.fixest</tt></a>,broom
Glance at a(n) gam object,<a href='https://broom.tidymodels.org//reference/glance.gam.html' target='_blank'><tt>glance.gam</tt></a>,broom
Glance at a(n) Gam object,<a href='https://broom.tidymodels.org//reference/glance_gam_hastie.html' target='_blank'><tt>glance.Gam</tt></a>,broom
Glance at a(n) geeglm object,<a href='https://broom.tidymodels.org//reference/glance.geeglm.html' target='_blank'><tt>glance.geeglm</tt></a>,broom
Glance at a(n) glm object,<a href='https://broom.tidymodels.org//reference/glance.glm.html' target='_blank'><tt>glance.glm</tt></a>,broom
Glance at a(n) glmnet object,<a href='https://broom.tidymodels.org//reference/glance.glmnet.html' target='_blank'><tt>glance.glmnet</tt></a>,broom
Glance at a(n) glmRob object,<a href='https://broom.tidymodels.org//reference/glance.glmRob.html' target='_blank'><tt>glance.glmRob</tt></a>,broom
Glance at a(n) gmm object,<a href='https://broom.tidymodels.org//reference/glance.gmm.html' target='_blank'><tt>glance.gmm</tt></a>,broom
Glance at an ipd fit,<a href='https://ipd-tools.github.io/ipd//reference/glance.ipd.html' target='_blank'><tt>glance.ipd</tt></a>,ipd
Glance at a(n) ivreg object,<a href='https://broom.tidymodels.org//reference/glance.ivreg.html' target='_blank'><tt>glance.ivreg</tt></a>,broom
Glance at a(n) kmeans object,<a href='https://broom.tidymodels.org//reference/glance.kmeans.html' target='_blank'><tt>glance.kmeans</tt></a>,broom
Glance at a(n) lavaan object,<a href='https://broom.tidymodels.org//reference/glance.lavaan.html' target='_blank'><tt>glance.lavaan</tt></a>,broom
Glance at a(n) lm object,<a href='https://broom.tidymodels.org//reference/glance.aov.html' target='_blank'><tt>glance.aov</tt></a>,broom
Glance at a(n) lm object,<a href='https://broom.tidymodels.org//reference/glance.lm.html' target='_blank'><tt>glance.lm</tt></a>,broom
Glance at a(n) lmodel2 object,<a href='https://broom.tidymodels.org//reference/glance.lmodel2.html' target='_blank'><tt>glance.lmodel2</tt></a>,broom
Glance at a(n) lmRob object,<a href='https://broom.tidymodels.org//reference/glance.lmRob.html' target='_blank'><tt>glance.lmRob</tt></a>,broom
Glance at a(n) lmrob object,<a href='https://broom.tidymodels.org//reference/glance.robustbase.lmrob.html' target='_blank'><tt>glance.lmrob</tt></a>,broom
Glance at an lm_sql_result,<a href='https://cran.r-project.org/package=sqlm' target='_blank'><tt>glance.lm_sql_result</tt></a>,sqlm
Glance at a(n) margins object,<a href='https://broom.tidymodels.org//reference/glance.margins.html' target='_blank'><tt>glance.margins</tt></a>,broom
Glance at a(n) Mclust object,<a href='https://broom.tidymodels.org//reference/glance.Mclust.html' target='_blank'><tt>glance.Mclust</tt></a>,broom
Glance at a(n) mfx object,<a href='https://broom.tidymodels.org//reference/glance.mfx.html' target='_blank'><tt>glance.mfx</tt></a>,broom
Glance at a(n) mfx object,<a href='https://broom.tidymodels.org//reference/glance.mfx.html' target='_blank'><tt>glance.logitmfx</tt></a>,broom
Glance at a(n) mfx object,<a href='https://broom.tidymodels.org//reference/glance.mfx.html' target='_blank'><tt>glance.negbinmfx</tt></a>,broom
Glance at a(n) mfx object,<a href='https://broom.tidymodels.org//reference/glance.mfx.html' target='_blank'><tt>glance.poissonmfx</tt></a>,broom
Glance at a(n) mfx object,<a href='https://broom.tidymodels.org//reference/glance.mfx.html' target='_blank'><tt>glance.probitmfx</tt></a>,broom
Glance at a(n) mjoint object,<a href='https://broom.tidymodels.org//reference/glance.mjoint.html' target='_blank'><tt>glance.mjoint</tt></a>,broom
Glance at an mlm object,<a href='https://friendly.github.io/heplots//reference/glance.mlm.html' target='_blank'><tt>glance.mlm</tt></a>,heplots
Glance at a(n) mlogit object,<a href='https://broom.tidymodels.org//reference/glance.mlogit.html' target='_blank'><tt>glance.mlogit</tt></a>,broom
Glance at a(n) muhaz object,<a href='https://broom.tidymodels.org//reference/glance.muhaz.html' target='_blank'><tt>glance.muhaz</tt></a>,broom
Glance at a(n) multinom object,<a href='https://broom.tidymodels.org//reference/glance.multinom.html' target='_blank'><tt>glance.multinom</tt></a>,broom
Glance at a(n) negbin object,<a href='https://broom.tidymodels.org//reference/glance.negbin.html' target='_blank'><tt>glance.negbin</tt></a>,broom
Glance at a(n) nlrq object,<a href='https://broom.tidymodels.org//reference/glance.nlrq.html' target='_blank'><tt>glance.nlrq</tt></a>,broom
Glance at a(n) nls object,<a href='https://broom.tidymodels.org//reference/glance.nls.html' target='_blank'><tt>glance.nls</tt></a>,broom
Glance at a(n) pam object,<a href='https://broom.tidymodels.org//reference/glance.pam.html' target='_blank'><tt>glance.pam</tt></a>,broom
Glance at a(n) plm object,<a href='https://broom.tidymodels.org//reference/glance.plm.html' target='_blank'><tt>glance.plm</tt></a>,broom
Glance at a(n) poLCA object,<a href='https://broom.tidymodels.org//reference/glance.poLCA.html' target='_blank'><tt>glance.poLCA</tt></a>,broom
Glance at a(n) polr object,<a href='https://broom.tidymodels.org//reference/glance.polr.html' target='_blank'><tt>glance.polr</tt></a>,broom
Glance at a(n) pyears object,<a href='https://broom.tidymodels.org//reference/glance.pyears.html' target='_blank'><tt>glance.pyears</tt></a>,broom
Glance at a(n) ridgelm object,<a href='https://broom.tidymodels.org//reference/glance.ridgelm.html' target='_blank'><tt>glance.ridgelm</tt></a>,broom
Glance at a(n) rlm object,<a href='https://broom.tidymodels.org//reference/glance.rlm.html' target='_blank'><tt>glance.rlm</tt></a>,broom
Glance at a(n) rma object,<a href='https://broom.tidymodels.org//reference/glance.rma.html' target='_blank'><tt>glance.rma</tt></a>,broom
Glance at a(n) rq object,<a href='https://broom.tidymodels.org//reference/glance.rq.html' target='_blank'><tt>glance.rq</tt></a>,broom
Glance at an Spat* object,<a href='https://dieghernan.github.io/tidyterra//reference/glance.Spat.html' target='_blank'><tt>glance.Spat</tt></a>,tidyterra
Glance at an Spat* object,<a href='https://dieghernan.github.io/tidyterra//reference/glance.Spat.html' target='_blank'><tt>glance.SpatRaster</tt></a>,tidyterra
Glance at an Spat* object,<a href='https://dieghernan.github.io/tidyterra//reference/glance.Spat.html' target='_blank'><tt>glance.SpatVector</tt></a>,tidyterra
Glance at a(n) spatialreg object,<a href='https://broom.tidymodels.org//reference/glance.sarlm.html' target='_blank'><tt>glance.sarlm</tt></a>,broom
Glance at a(n) speedglm object,<a href='https://broom.tidymodels.org//reference/glance.speedglm.html' target='_blank'><tt>glance.speedglm</tt></a>,broom
Glance at a(n) speedlm object,<a href='https://broom.tidymodels.org//reference/glance.speedlm.html' target='_blank'><tt>glance.speedlm</tt></a>,broom
Glance at a(n) summary.lm object,<a href='https://broom.tidymodels.org//reference/glance.summary.lm.html' target='_blank'><tt>glance.summary.lm</tt></a>,broom
Glance at a(n) survdiff object,<a href='https://broom.tidymodels.org//reference/glance.survdiff.html' target='_blank'><tt>glance.survdiff</tt></a>,broom
Glance at a(n) survexp object,<a href='https://broom.tidymodels.org//reference/glance.survexp.html' target='_blank'><tt>glance.survexp</tt></a>,broom
Glance at a(n) survfit object,<a href='https://broom.tidymodels.org//reference/glance.survfit.html' target='_blank'><tt>glance.survfit</tt></a>,broom
Glance at a(n) survreg object,<a href='https://broom.tidymodels.org//reference/glance.survreg.html' target='_blank'><tt>glance.survreg</tt></a>,broom
Glance at a(n) svyglm object,<a href='https://broom.tidymodels.org//reference/glance.svyglm.html' target='_blank'><tt>glance.svyglm</tt></a>,broom
Glance at a(n) svyolr object,<a href='https://broom.tidymodels.org//reference/glance.svyolr.html' target='_blank'><tt>glance.svyolr</tt></a>,broom
Glance at a(n) varest object,<a href='https://broom.tidymodels.org//reference/glance.varest.html' target='_blank'><tt>glance.varest</tt></a>,broom
Glance at goodness-of-fit statistics,<a href='https://github.com/flh3/CR2' target='_blank'><tt>glance.CR2</tt></a>,CR2
Glance at goodness-of-fit statistics,<a href='https://github.com/flh3/MLMusingR' target='_blank'><tt>glance.CR2</tt></a>,MLMusingR
Glance Method for beezdemand_fixed,<a href='https://brentkaplan.github.io/beezdemand//reference/glance.beezdemand_fixed.html' target='_blank'><tt>glance.beezdemand_fixed</tt></a>,beezdemand
Glance method for beezdemand_nlme,<a href='https://brentkaplan.github.io/beezdemand//reference/glance.beezdemand_nlme.html' target='_blank'><tt>glance.beezdemand_nlme</tt></a>,beezdemand
Glance Method for beezdemand_systematicity,<a href='https://brentkaplan.github.io/beezdemand//reference/glance.beezdemand_systematicity.html' target='_blank'><tt>glance.beezdemand_systematicity</tt></a>,beezdemand
Glance method for tidylda objects,<a href='https://github.com/TommyJones/tidylda/' target='_blank'><tt>glance.tidylda</tt></a>,tidylda
glance model characteristics from AGGTEobj objects,<a href='https://bcallaway11.github.io/did//reference/glance.AGGTEobj.html' target='_blank'><tt>glance.AGGTEobj</tt></a>,did
glance model characteristics from MP objects,<a href='https://bcallaway11.github.io/did//reference/glance.MP.html' target='_blank'><tt>glance.MP</tt></a>,did
Glance summary for NMAR results,<a href='https://github.com/ncn-foreigners/NMAR' target='_blank'><tt>glance.nmar_result</tt></a>,NMAR
Helper function to allow use with modelsummary,<a href='https://github.com/flh3/MLMusingR' target='_blank'><tt>tidy.mixPV</tt></a>,MLMusingR
Indicate Recurrent Date Time Event,<a href='https://emilhvitfeldt.github.io/extrasteps//reference/step_time_event.html' target='_blank'><tt>tidy.step_time_event</tt></a>,extrasteps
Indicator Variables via Feature Hashing,<a href='https://textrecipes.tidymodels.org//reference/step_dummy_hash.html' target='_blank'><tt>tidy.step_dummy_hash</tt></a>,textrecipes
Lemmatization of Token Variables,<a href='https://textrecipes.tidymodels.org//reference/step_lemma.html' target='_blank'><tt>tidy.step_lemma</tt></a>,textrecipes
Likelihood encoding using analytical formula,<a href='https://embed.tidymodels.org/reference/step_lencode.html' target='_blank'><tt>tidy.step_lencode</tt></a>,embed
Methods for polyreg objects,<a href='https://gestimation.github.io/cifmodeling//reference/polyreg-methods.html' target='_blank'><tt>tidy.polyreg</tt></a>,cifmodeling
Methods for polyreg objects,<a href='https://gestimation.github.io/cifmodeling//reference/polyreg-methods.html' target='_blank'><tt>glance.polyreg</tt></a>,cifmodeling
Methods for polyreg objects,<a href='https://gestimation.github.io/cifmodeling//reference/polyreg-methods.html' target='_blank'><tt>augment.polyreg</tt></a>,cifmodeling
micsr class,<a href='https://www.r-project.org' target='_blank'><tt>tidy.micsr</tt></a>,micsr
micsr class,<a href='https://www.r-project.org' target='_blank'><tt>glance.micsr</tt></a>,micsr
Multiple trilogit fields,<a href='https://www.flaviosanti.it/software/plot3logit/' target='_blank'><tt>tidy.multifield3logit</tt></a>,plot3logit
name ordinal_tidiers,<a href='https://github.com/bbolker/broom.mixed' target='_blank'><tt>augment.clmm</tt></a>,broom.mixed
Normalization of Character Variables,<a href='https://textrecipes.tidymodels.org//reference/step_text_normalization.html' target='_blank'><tt>tidy.step_text_normalization</tt></a>,textrecipes
One-row summary of survinger model,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>glance.surv</tt></a>,survinger
One-row summary of survinger model,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>glance.surv_prevalence</tt></a>,survinger
One-row summary of survinger model,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>glance.surv_delay_fit</tt></a>,survinger
One-row summary of survinger model,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>glance.surv_adjusted</tt></a>,survinger
Part of Speech Filtering of Token Variables,<a href='https://textrecipes.tidymodels.org//reference/step_pos_filter.html' target='_blank'><tt>tidy.step_pos_filter</tt></a>,textrecipes
Perform binary encoding of factor variables,<a href='https://emilhvitfeldt.github.io/extrasteps//reference/step_encoding_binary.html' target='_blank'><tt>tidy.step_encoding_binary</tt></a>,extrasteps
Perform frequency encoding,<a href='https://emilhvitfeldt.github.io/extrasteps//reference/step_encoding_frequency.html' target='_blank'><tt>tidy.step_encoding_frequency</tt></a>,extrasteps
Perform Max Abs Scaling,<a href='https://emilhvitfeldt.github.io/extrasteps//reference/step_maxabs.html' target='_blank'><tt>tidy.step_maxabs</tt></a>,extrasteps
Perform Min Max Scaling,<a href='https://emilhvitfeldt.github.io/extrasteps//reference/step_minmax.html' target='_blank'><tt>tidy.step_minmax</tt></a>,extrasteps
Perform Robust Scaling,<a href='https://emilhvitfeldt.github.io/extrasteps//reference/step_robust.html' target='_blank'><tt>tidy.step_robust</tt></a>,extrasteps
Perform Unit Normalization,<a href='https://emilhvitfeldt.github.io/extrasteps//reference/step_unit_normalize.html' target='_blank'><tt>tidy.step_unit_normalize</tt></a>,extrasteps
Positional One-Hot encoding of Tokens,<a href='https://textrecipes.tidymodels.org//reference/step_sequence_onehot.html' target='_blank'><tt>tidy.step_sequence_onehot</tt></a>,textrecipes
Post new data to a deployed model API endpoint and augment with predictions,<a href='https://rstudio.github.io/vetiver-r//reference/augment.vetiver_endpoint.html' target='_blank'><tt>augment.vetiver_endpoint</tt></a>,vetiver
Post new data to a deployed SageMaker model endpoint and augment with predictions,<a href='https://rstudio.github.io/vetiver-r//reference/augment.vetiver_endpoint_sagemaker.html' target='_blank'><tt>augment.vetiver_endpoint_sagemaker</tt></a>,vetiver
Predict using TabPFN,<a href='https://tabpfn.tidymodels.org/reference/predict.tab_pfn.html' target='_blank'><tt>augment.tab_pfn</tt></a>,tabpfn
Pretrained Word Embeddings of Tokens,<a href='https://textrecipes.tidymodels.org//reference/step_word_embeddings.html' target='_blank'><tt>tidy.step_word_embeddings</tt></a>,textrecipes
Provide tidy output from a std_custom object for use in downstream computations,<a href='https://sachsmc.github.io/stdReg2//reference/tidy.std_custom.html' target='_blank'><tt>tidy.std_custom</tt></a>,stdReg2
Provide tidy output from a std_glm object for use in downstream computations,<a href='https://sachsmc.github.io/stdReg2//reference/tidy.std_glm.html' target='_blank'><tt>tidy.std_glm</tt></a>,stdReg2
Provide tidy output from a std_surv object for use in downstream computations,<a href='https://sachsmc.github.io/stdReg2//reference/tidy.std_surv.html' target='_blank'><tt>tidy.std_surv</tt></a>,stdReg2
Remove Points Near Other Classes,<a href='https://themis.tidymodels.org/reference/step_nearmiss.html' target='_blank'><tt>tidy.step_nearmiss</tt></a>,themis
Remove Tomek’s Links,<a href='https://themis.tidymodels.org/reference/step_tomek.html' target='_blank'><tt>tidy.step_tomek</tt></a>,themis
Sentencepiece Tokenization of Character Variables,<a href='https://textrecipes.tidymodels.org//reference/step_tokenize_sentencepiece.html' target='_blank'><tt>tidy.step_tokenize_sentencepiece</tt></a>,textrecipes
Sparse Bayesian PCA Signal Extraction,<a href='https://embed.tidymodels.org/reference/step_pca_sparse_bayes.html' target='_blank'><tt>tidy.step_pca_sparse_bayes</tt></a>,embed
Sparse PCA Signal Extraction,<a href='https://embed.tidymodels.org/reference/step_pca_sparse.html' target='_blank'><tt>tidy.step_pca_sparse</tt></a>,embed
Stemming of Token Variables,<a href='https://textrecipes.tidymodels.org//reference/step_stem.html' target='_blank'><tt>tidy.step_stem</tt></a>,textrecipes
Summaries of alignments,<a href='https://klausvigo.github.io/phangorn//reference/baseFreq.html' target='_blank'><tt>glance.phyDat</tt></a>,phangorn
Summarises information about the components of a model from a statistical object (broom package).,<a href='https://r-forge.r-project.org/projects/r2mlwin//reference/tidy.mlwinfitIGLS.html' target='_blank'><tt>tidy.mlwinfitIGLS</tt></a>,R2MLwiN
Summarises information about the components of a model from a statistical object (broom package).,<a href='https://r-forge.r-project.org/projects/r2mlwin//reference/tidy.mlwinfitMCMC.html' target='_blank'><tt>tidy.mlwinfitMCMC</tt></a>,R2MLwiN
Summarize Terms from a Fitted Model,<a href='https://bayesiandemography.github.io/bage//reference/tidy.bage_mod.html' target='_blank'><tt>tidy.bage_mod</tt></a>,bage
Supervised and unsupervised uniform manifold approximation and projection (UMAP),<a href='https://embed.tidymodels.org/reference/step_umap.html' target='_blank'><tt>tidy.step_umap</tt></a>,embed
Supervised Collapsing of Factor Levels,<a href='https://embed.tidymodels.org/reference/step_collapse_cart.html' target='_blank'><tt>tidy.step_collapse_cart</tt></a>,embed
Supervised Factor Conversions into Linear Functions using Bayesian Likelihood Encodings,<a href='https://embed.tidymodels.org/reference/step_lencode_bayes.html' target='_blank'><tt>tidy.step_lencode_bayes</tt></a>,embed
Supervised Factor Conversions into Linear Functions using Bayesian Likelihood Encodings,<a href='https://embed.tidymodels.org/reference/step_lencode_mixed.html' target='_blank'><tt>tidy.step_lencode_mixed</tt></a>,embed
Supervised Factor Conversions into Linear Functions using Likelihood Encodings,<a href='https://embed.tidymodels.org/reference/step_lencode_glm.html' target='_blank'><tt>tidy.step_lencode_glm</tt></a>,embed
Tabulation of Least Square Means Results,<a href='https://johnsonandjohnson.github.io/junco//reference/tabulate_lsmeans.html' target='_blank'><tt>tidy.tern_model</tt></a>,junco
Tabulation of MMRM Results,<a href='https://github.com/insightsengineering/tern.mmrm' target='_blank'><tt>tidy.tern_mmrm</tt></a>,tern.mmrm
Taxonomic clades feature generator,<a href='https://github.com/abichat/scimo' target='_blank'><tt>tidy.step_taxonomy</tt></a>,scimo
Term frequency of Tokens,<a href='https://textrecipes.tidymodels.org//reference/step_tf.html' target='_blank'><tt>tidy.step_tf</tt></a>,textrecipes
Term Frequency-Inverse Document Frequency of Tokens,<a href='https://textrecipes.tidymodels.org//reference/step_tfidf.html' target='_blank'><tt>tidy.step_tfidf</tt></a>,textrecipes
Tidier methods for Julia regression models,<a href='https://yjunechoe.github.io/jlmerclusterperm//reference/julia_model_tidiers.html' target='_blank'><tt>tidy.jlmer_mod</tt></a>,jlmerclusterperm
Tidier methods for Julia regression models,<a href='https://yjunechoe.github.io/jlmerclusterperm//reference/julia_model_tidiers.html' target='_blank'><tt>glance.jlmer_mod</tt></a>,jlmerclusterperm
Tidiers for a corpus object from the quanteda package,<a href='https://juliasilge.github.io/tidytext//reference/corpus_tidiers.html' target='_blank'><tt>tidy.corpus</tt></a>,tidytext
Tidiers for a corpus object from the quanteda package,<a href='https://juliasilge.github.io/tidytext//reference/corpus_tidiers.html' target='_blank'><tt>glance.corpus</tt></a>,tidytext
Tidiers for cluster permutation test objects,<a href='https://yjunechoe.github.io/jlmerclusterperm//reference/cluster_permutation_tidiers.html' target='_blank'><tt>tidy.timewise_statistics</tt></a>,jlmerclusterperm
Tidiers for cluster permutation test objects,<a href='https://yjunechoe.github.io/jlmerclusterperm//reference/cluster_permutation_tidiers.html' target='_blank'><tt>tidy.empirical_clusters</tt></a>,jlmerclusterperm
Tidiers for cluster permutation test objects,<a href='https://yjunechoe.github.io/jlmerclusterperm//reference/cluster_permutation_tidiers.html' target='_blank'><tt>tidy.null_cluster_dists</tt></a>,jlmerclusterperm
Tidiers for data.frame objects,<a href='https://broom.tidymodels.org//reference/data.frame_tidiers.html' target='_blank'><tt>tidy.data.frame</tt></a>,broom
Tidiers for data.frame objects,<a href='https://broom.tidymodels.org//reference/data.frame_tidiers.html' target='_blank'><tt>augment.data.frame</tt></a>,broom
