title,func,topic,url,package
Clean Outliers and Missing Data for Time Series,step_ts_clean,<a href='https://business-science.github.io/timetk/reference/step_ts_clean.html' target='_blank'><tt>step_ts_clean</tt></a>,https://business-science.github.io/timetk/reference/step_ts_clean.html,timetk
Clean Variable Names,step_clean_names,<a href='https://textrecipes.tidymodels.org/reference/step_clean_names.html' target='_blank'><tt>step_clean_names</tt></a>,https://textrecipes.tidymodels.org/reference/step_clean_names.html,textrecipes
collapse factor levels using stringdist,step_collapse_stringdist,<a href='https://embed.tidymodels.org/reference/step_collapse_stringdist.html' target='_blank'><tt>step_collapse_stringdist</tt></a>,https://embed.tidymodels.org/reference/step_collapse_stringdist.html,embed
Collapse infrequent categorical levels,step_other,<a href='https://recipes.tidymodels.org/reference/step_other.html' target='_blank'><tt>step_other</tt></a>,https://recipes.tidymodels.org/reference/step_other.html,recipes
Collapse Predictors into a single list-column,step_collapse,<a href='https://davidrsch.github.io/kerasnip/reference/step_collapse.html' target='_blank'><tt>step_collapse</tt></a>,https://davidrsch.github.io/kerasnip/reference/step_collapse.html,kerasnip
Combine Multiple Token Variables Into One,step_tokenmerge,<a href='https://textrecipes.tidymodels.org/reference/step_tokenmerge.html' target='_blank'><tt>step_tokenmerge</tt></a>,https://textrecipes.tidymodels.org/reference/step_tokenmerge.html,textrecipes
Complex Polynomial Vectorization of Persistent Homology,step_vpd_complex_polynomial,<a href='https://github.com/tdaverse/tdarec' target='_blank'><tt>step_vpd_complex_polynomial</tt></a>,https://github.com/tdaverse/tdarec,tdarec
Compute shrunken centroid distances for classification models,step_classdist_shrunken,<a href='https://recipes.tidymodels.org/reference/step_classdist_shrunken.html' target='_blank'><tt>step_classdist_shrunken</tt></a>,https://recipes.tidymodels.org/reference/step_classdist_shrunken.html,recipes
Condensed Nearest Neighbors,step_cnn,<a href='https://themis.tidymodels.org/reference/step_cnn.html' target='_blank'><tt>step_cnn</tt></a>,https://themis.tidymodels.org/reference/step_cnn.html,themis
Convert factors to strings,step_factor2string,<a href='https://recipes.tidymodels.org/reference/step_factor2string.html' target='_blank'><tt>step_factor2string</tt></a>,https://recipes.tidymodels.org/reference/step_factor2string.html,recipes
Convert numbers to factors,step_num2factor,<a href='https://recipes.tidymodels.org/reference/step_num2factor.html' target='_blank'><tt>step_num2factor</tt></a>,https://recipes.tidymodels.org/reference/step_num2factor.html,recipes
Convert ordered factors to unordered factors,step_unorder,<a href='https://recipes.tidymodels.org/reference/step_unorder.html' target='_blank'><tt>step_unorder</tt></a>,https://recipes.tidymodels.org/reference/step_unorder.html,recipes
Convert ordinal factors to numeric scores,step_ordinalscore,<a href='https://recipes.tidymodels.org/reference/step_ordinalscore.html' target='_blank'><tt>step_ordinalscore</tt></a>,https://recipes.tidymodels.org/reference/step_ordinalscore.html,recipes
Convert strings to factors,step_string2factor,<a href='https://recipes.tidymodels.org/reference/step_string2factor.html' target='_blank'><tt>step_string2factor</tt></a>,https://recipes.tidymodels.org/reference/step_string2factor.html,recipes
